"Identificador de URL";Nombre;Categorías;"Nombre de propiedad 1";"Valor de propiedad 1";"Nombre de propiedad 2";"Valor de propiedad 2";"Nombre de propiedad 3";"Valor de propiedad 3";Precio;"Precio promocional";"Peso (kg)";"Alto (cm)";"Ancho (cm)";"Profundidad (cm)";Stock;SKU;"Código de barras";"Mostrar en tienda";"Envío sin cargo";Descripción;Tags;"Título para SEO";"Descripción para SEO";Marca;"Producto Físico";"MPN (Número de pieza del fabricante)";Sexo;"Rango de edad";Costo
jean-megan;"Jean megan";Inferiores;Color;Azul;Talle;40;;;110,000.00;70,000.00;0.00;0.00;0.00;0.00;;;;SI;NO;"<p data-start=""142"" data-end=""354"">Este jean de tiro alto Oxford es perfecto para quienes buscan un estilo cl&aacute;sico con un toque contempor&aacute;neo. Su dise&ntilde;o favorecedor estiliza la figura, realzando las curvas y creando una silueta esbelta y elegante.</p>
<ul data-start=""356"" data-end=""652"">
<li data-start=""356"" data-end=""432"">
<p data-start=""358"" data-end=""432""><strong data-start=""358"" data-end=""371"">Material:</strong> Tela denim Oxford de alta calidad, resistente y confortable.</p>
</li>
<li data-start=""433"" data-end=""551"">
<p data-start=""435"" data-end=""551""><strong data-start=""435"" data-end=""446"">Dise&ntilde;o:</strong> Tiro alto que se ajusta perfectamente a la cintura, brindando comodidad y seguridad durante todo el d&iacute;a.</p>
</li>
<li data-start=""552"" data-end=""652"">
<p data-start=""554"" data-end=""652""><strong data-start=""554"" data-end=""565"">Estilo:</strong> Ideal para combinar en looks casuales o m&aacute;s formales, adapt&aacute;ndose a cualquier ocasi&oacute;n.</p>
</li>
</ul>
<p style=""margin-bottom: 0px; font-style: normal; font-variant-caps: normal; font-stretch: normal; font-size: 12px; line-height: normal; font-family: Helvetica; font-size-adjust: none; font-kerning: auto; font-variant-alternates: normal; font-variant-ligatures: normal; font-variant-numeric: normal; font-variant-east-asian: normal; font-variant-position: normal; font-variant-emoji: normal; font-feature-settings: normal; font-optical-sizing: auto; font-variation-settings: normal;"">&nbsp;</p>
<p data-start=""654"" data-end=""721"">Un b&aacute;sico imprescindible que combina durabilidad, estilo y confort.</p>";;;;;SI;;;;45,000.00
jean-megan;;;Color;Azul;Talle;42;;;110,000.00;70,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;45,000.00
jean-megan;;;Color;Azul;Talle;38;;;110,000.00;70,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;45,000.00
jean-megan;;;Color;Azul;Talle;36;;;110,000.00;70,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;45,000.00
calza-zipper;"Calza zipper";Inferiores;Talle;S;Color;Bordó;;;55,100.00;;0.00;0.00;0.00;0.00;;;;SI;NO;"<p data-start=""153"" data-end=""395"">Esta calza de morley combina a la perfecci&oacute;n confort y dise&ntilde;o, ideal para acompa&ntilde;arte en tu d&iacute;a a d&iacute;a sin perder estilo. Su tela suave y flexible se adapta delicadamente a tu cuerpo, brind&aacute;ndote libertad de movimiento y un ajuste favorecedor.</p>
<ul data-start=""397"" data-end=""787"">
<li data-start=""397"" data-end=""456"">
<p data-start=""399"" data-end=""456""><strong data-start=""399"" data-end=""412"">Material:</strong> Morley de alta calidad, suave y resistente.</p>
</li>
<li data-start=""457"" data-end=""537"">
<p data-start=""459"" data-end=""537""><strong data-start=""459"" data-end=""470"">Dise&ntilde;o:</strong> Cintura rebatida que aporta un toque chic y se ajusta c&oacute;modamente.</p>
</li>
<li data-start=""538"" data-end=""691"">
<p data-start=""540"" data-end=""691""><strong data-start=""540"" data-end=""561"">Detalle especial:</strong> Cierres invisibles YKK en la parte interna de la pierna que permiten crear un efecto oxford, transformando tu look con facilidad.</p>
</li>
<li data-start=""692"" data-end=""787"">
<p data-start=""694"" data-end=""787""><strong data-start=""694"" data-end=""711"">Versatilidad:</strong> Dos estilos en una sola prenda para que adaptes tu outfit seg&uacute;n la ocasi&oacute;n.</p>
</li>
</ul>
<p style=""margin-bottom: 0px; font-style: normal; font-variant-caps: normal; font-stretch: normal; font-size: 12px; line-height: normal; font-family: Helvetica; font-size-adjust: none; font-kerning: auto; font-variant-alternates: normal; font-variant-ligatures: normal; font-variant-numeric: normal; font-variant-east-asian: normal; font-variant-position: normal; font-variant-emoji: normal; font-feature-settings: normal; font-optical-sizing: auto; font-variation-settings: normal;"">&nbsp;</p>
<p data-start=""789"" data-end=""860"">Una calza funcional y con estilo que no puede faltar en tu guardarropa.</p>";;;;;SI;;;;
calza-zipper;;;Talle;S;Color;Blanco;;;55,100.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
calza-zipper;;;Talle;S;Color;Negro;;;55,100.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
calza-zipper;;;Talle;S;Color;Marrón;;;55,100.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
calza-zipper;;;Talle;S;Color;Gris;;;55,100.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
calza-zipper;;;Talle;M;Color;Bordó;;;55,100.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
calza-zipper;;;Talle;M;Color;Blanco;;;55,100.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
calza-zipper;;;Talle;M;Color;Negro;;;55,100.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
calza-zipper;;;Talle;M;Color;Marrón;;;55,100.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
calza-zipper;;;Talle;M;Color;Gris;;;55,100.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
calza-zipper;;;Talle;L;Color;Bordó;;;55,100.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
calza-zipper;;;Talle;L;Color;Blanco;;;55,100.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
calza-zipper;;;Talle;L;Color;Negro;;;55,100.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
calza-zipper;;;Talle;L;Color;Marrón;;;55,100.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
calza-zipper;;;Talle;L;Color;Gris;;;55,100.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
calza-zipper;;;Talle;XL;Color;Bordó;;;55,100.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
calza-zipper;;;Talle;XL;Color;Blanco;;;55,100.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
calza-zipper;;;Talle;XL;Color;Negro;;;55,100.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
calza-zipper;;;Talle;XL;Color;Marrón;;;55,100.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
calza-zipper;;;Talle;XL;Color;Gris;;;55,100.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
polera-kim;"Polera kim";Superiores;Talle;S;Color;Beige;;;47,800.00;;0.00;0.00;0.00;0.00;;;;SI;NO;"<p data-start=""167"" data-end=""402"">Este top de morley elastizado es la combinaci&oacute;n perfecta entre confort y dise&ntilde;o moderno. Su corte tipo musculosa con cuello polera lo convierte en un b&aacute;sico vers&aacute;til y actual, ideal para usar solo o como prenda base en m&uacute;ltiples looks.</p>
<ul data-start=""404"" data-end=""717"">
<li data-start=""404"" data-end=""507"">
<p data-start=""406"" data-end=""507""><strong data-start=""406"" data-end=""419"">Material:</strong> Morley elastizado que se adapta al cuerpo con suavidad y brinda libertad de movimiento.</p>
</li>
<li data-start=""508"" data-end=""589"">
<p data-start=""510"" data-end=""589""><strong data-start=""510"" data-end=""521"">Dise&ntilde;o:</strong> Musculosa con polera que equilibra lo casual con un toque elegante.</p>
</li>
<li data-start=""590"" data-end=""717"">
<p data-start=""592"" data-end=""717""><strong data-start=""592"" data-end=""609"">Versatilidad:</strong> Perfecto para combinar con jeans, pantalones sastreros o faldas, logrando un estilo impecable sin esfuerzo.</p>
</li>
</ul>
<p style=""margin-bottom: 0px; font-style: normal; font-variant-caps: normal; font-stretch: normal; font-size: 12px; line-height: normal; font-family: Helvetica; font-size-adjust: none; font-kerning: auto; font-variant-alternates: normal; font-variant-ligatures: normal; font-variant-numeric: normal; font-variant-east-asian: normal; font-variant-position: normal; font-variant-emoji: normal; font-feature-settings: normal; font-optical-sizing: auto; font-variation-settings: normal;"">&nbsp;</p>
<p data-start=""719"" data-end=""792"">Sencillo, moderno y c&oacute;modo: el top que no puede faltar en tu guardarropa.</p>";;;;;SI;;;;
polera-kim;;;Talle;S;Color;Blanco;;;47,800.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
polera-kim;;;Talle;S;Color;Bordó;;;47,800.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
polera-kim;;;Talle;S;Color;Gris;;;47,800.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
polera-kim;;;Talle;S;Color;Negro;;;47,800.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
polera-kim;;;Talle;M;Color;Beige;;;47,800.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
polera-kim;;;Talle;M;Color;Blanco;;;47,800.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
polera-kim;;;Talle;M;Color;Bordó;;;47,800.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
polera-kim;;;Talle;M;Color;Gris;;;47,800.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
polera-kim;;;Talle;M;Color;Negro;;;47,800.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
polera-kim;;;Talle;L;Color;Beige;;;47,800.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
polera-kim;;;Talle;L;Color;Blanco;;;47,800.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
polera-kim;;;Talle;L;Color;Bordó;;;47,800.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
polera-kim;;;Talle;L;Color;Gris;;;47,800.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
polera-kim;;;Talle;L;Color;Negro;;;47,800.00;;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
top-rain;"Top rain";Superiores;Talle;L;Color;Blanco;;;120,000.00;55,000.00;0.00;0.00;0.00;0.00;;;;SI;NO;"<p data-start=""188"" data-end=""410"">Este top combina la comodidad del morley elastizado con la delicadeza de un bordado sutil y elegante. Su dise&ntilde;o ajustado se adapta perfectamente a tu figura, brind&aacute;ndote un look femenino, moderno y con un toque distintivo.</p>
<ul data-start=""412"" data-end=""692"">
<li data-start=""412"" data-end=""492"">
<p data-start=""414"" data-end=""492""><strong data-start=""414"" data-end=""427"">Material:</strong> Morley elastizado suave y flexible que acompa&ntilde;a cada movimiento.</p>
</li>
<li data-start=""493"" data-end=""584"">
<p data-start=""495"" data-end=""584""><strong data-start=""495"" data-end=""506"">Dise&ntilde;o:</strong> Corte cl&aacute;sico con bordado delicado que realza la prenda y le da personalidad.</p>
</li>
<li data-start=""585"" data-end=""692"">
<p data-start=""587"" data-end=""692""><strong data-start=""587"" data-end=""604"">Versatilidad:</strong> Ideal para looks casuales con jeans o m&aacute;s arreglados con pantalones sastreros o faldas.</p>
</li>
</ul>
<p data-start=""694"" data-end=""754"">Una prenda b&aacute;sica renovada con un detalle que la hace &uacute;nica.</p>";;;;;SI;;;;
top-rain;;;Talle;L;Color;Negro;;;120,000.00;55,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
top-rain;;;Talle;M;Color;Blanco;;;120,000.00;55,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
top-rain;;;Talle;M;Color;Negro;;;120,000.00;55,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
top-rain;;;Talle;S;Color;Blanco;;;120,000.00;55,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
top-rain;;;Talle;S;Color;Negro;;;120,000.00;55,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
top-lux;"Top lux";Superiores;Color;Negro;Talle;S;;;149,000.00;60,000.00;0.00;0.00;0.00;0.00;;;;SI;NO;"<p data-start=""230"" data-end=""495"">Este top de fiesta en micro morley con sutil brillo es la elecci&oacute;n perfecta para un look sofisticado y deslumbrante. Su dise&ntilde;o de polera con espalda descubierta aporta sensualidad y elegancia, mientras que el escote elastizado asegura un calce c&oacute;modo y favorecedor.</p>
<p data-start=""497"" data-end=""633"">El frente y la espalda est&aacute;n realzados con piedras bordadas a mano en un delicado efecto degrad&eacute;, que aporta un toque &uacute;nico y artesanal.</p>
<ul data-start=""635"" data-end=""1003"">
<li data-start=""635"" data-end=""721"">
<p data-start=""637"" data-end=""721""><strong data-start=""637"" data-end=""650"">Material:</strong> Micro morley con leve brillo, ideal para eventos y salidas especiales.</p>
</li>
<li data-start=""722"" data-end=""811"">
<p data-start=""724"" data-end=""811""><strong data-start=""724"" data-end=""735"">Dise&ntilde;o:</strong> Polera con espalda descubierta y escote elastizado que se adapta al cuerpo.</p>
</li>
<li data-start=""812"" data-end=""891"">
<p data-start=""814"" data-end=""891""><strong data-start=""814"" data-end=""827"">Detalles:</strong> Bordado a mano con piedras en frente y espalda, efecto degrad&eacute;.</p>
</li>
<li data-start=""892"" data-end=""1003"">
<p data-start=""894"" data-end=""1003""><strong data-start=""894"" data-end=""905"">Estilo:</strong> Perfecto para combinar con faldas, pantalones sastreros o jeans para un look de noche impactante.</p>
</li>
</ul>
<p data-start=""1005"" data-end=""1072"">Una prenda que resalta tu estilo y te hace brillar en cada ocasi&oacute;n.</p>";;;;;SI;;;;
top-lux;;;Color;Negro;Talle;M;;;14,900.00;60,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
top-lux;;;Color;Negro;Talle;L;;;14,900.00;60,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
top-lux;;;Color;Negro;Talle;XL;;;149,000.00;60,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
vestido-kenia;"Vestido kenia";Superiores;Talle;S;Color;Gris;;;80,000.00;50,000.00;0.00;0.00;0.00;0.00;;;;SI;NO;"<p data-start=""159"" data-end=""397"">Este vestido confeccionado en tela waffle angora combina comodidad, calidez y un dise&ntilde;o elegante que realza la silueta. Su textura &uacute;nica, suave al tacto, aporta un toque sofisticado y acogedor, ideal para acompa&ntilde;arte en cualquier ocasi&oacute;n.</p>
<ul data-start=""399"" data-end=""745"">
<li data-start=""399"" data-end=""487"">
<p data-start=""401"" data-end=""487""><strong data-start=""401"" data-end=""414"">Material:</strong> Waffle angora, c&aacute;lido y suave, perfecto para entretiempo o d&iacute;as frescos.</p>
</li>
<li data-start=""488"" data-end=""565"">
<p data-start=""490"" data-end=""565""><strong data-start=""490"" data-end=""501"">Dise&ntilde;o:</strong> Corte favorecedor que se adapta al cuerpo sin perder comodidad.</p>
</li>
<li data-start=""566"" data-end=""651"">
<p data-start=""568"" data-end=""651""><strong data-start=""568"" data-end=""585"">Versatilidad:</strong> Ideal tanto para salidas informales como para eventos especiales.</p>
</li>
<li data-start=""652"" data-end=""745"">
<p data-start=""654"" data-end=""745""><strong data-start=""654"" data-end=""666"">Colores:</strong> Disponible en varios tonos para que elijas el que mejor se adapte a tu estilo.</p>
</li>
</ul>
<p data-start=""747"" data-end=""856"">Un vestido que equilibra a la perfecci&oacute;n confort y estilo, convirti&eacute;ndose en un infaltable de tu guardarropa.</p>";;;;;SI;;;;
vestido-kenia;;;Talle;S;Color;Blanco;;;80,000.00;60,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
vestido-kenia;;;Talle;S;Color;Beige;;;80,000.00;60,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
vestido-kenia;;;Talle;S;Color;Negro;;;80,000.00;60,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
vestido-kenia;;;Talle;M;Color;Gris;;;80,000.00;60,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
vestido-kenia;;;Talle;M;Color;Blanco;;;80,000.00;60,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
vestido-kenia;;;Talle;M;Color;Beige;;;80,000.00;60,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
vestido-kenia;;;Talle;M;Color;Negro;;;80,000.00;60,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
vestido-kenia;;;Talle;L;Color;Gris;;;80,000.00;60,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
vestido-kenia;;;Talle;L;Color;Blanco;;;80,000.00;60,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
vestido-kenia;;;Talle;L;Color;Beige;;;80,000.00;60,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
vestido-kenia;;;Talle;L;Color;Negro;;;80,000.00;60,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
vestido-zaira;"Vestido Zaira";Superiores;Talle;M;Color;Negro;;;120,000.00;80,000.00;0.00;0.00;0.00;0.00;;;;SI;NO;"<p style=""margin-bottom: 0px; font-style: normal; font-variant-caps: normal; font-stretch: normal; font-size: 12px; line-height: normal; font-family: Helvetica; font-size-adjust: none; font-kerning: auto; font-variant-alternates: normal; font-variant-ligatures: normal; font-variant-numeric: normal; font-variant-east-asian: normal; font-variant-position: normal; font-variant-emoji: normal; font-feature-settings: normal; font-optical-sizing: auto; font-variation-settings: normal;"">El vestido Zaira est&aacute; confeccionado en lycra liviana, lo que lo convierte en una prenda c&oacute;moda, fresca y con ca&iacute;da suave. Su dise&ntilde;o simple pero elegante se adapta perfectamente al cuerpo, realzando la figura sin esfuerzo.</p>";;;;;SI;;;;
vestido-zaira;;;Talle;M;Color;"Gris Oscuro";;;120,000.00;80,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
vestido-zaira;;;Talle;M;Color;Bordó;;;120,000.00;80,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
vestido-zaira;;;Talle;M;Color;Marrón;;;120,000.00;80,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
vestido-zaira;;;Talle;M;Color;"Verde inglés";;;120,000.00;80,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
vestido-zaira;;;Talle;L;Color;Negro;;;120,000.00;80,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
vestido-zaira;;;Talle;L;Color;"Gris Oscuro";;;120,000.00;80,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
vestido-zaira;;;Talle;L;Color;Bordó;;;120,000.00;80,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
vestido-zaira;;;Talle;L;Color;Marrón;;;120,000.00;80,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
vestido-zaira;;;Talle;L;Color;"Verde inglés";;;120,000.00;80,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
vestido-zaira;;;Talle;S;Color;Negro;;;120,000.00;80,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
vestido-zaira;;;Talle;S;Color;"Gris Oscuro";;;120,000.00;80,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
vestido-zaira;;;Talle;S;Color;Bordó;;;120,000.00;80,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
vestido-zaira;;;Talle;S;Color;Marrón;;;120,000.00;80,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
vestido-zaira;;;Talle;S;Color;"Verde inglés";;;120,000.00;80,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
vestido-zaira;;;Talle;XL;Color;Negro;;;120,000.00;80,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
vestido-zaira;;;Talle;XL;Color;"Gris Oscuro";;;120,000.00;80,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
vestido-zaira;;;Talle;XL;Color;Bordó;;;120,000.00;80,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
vestido-zaira;;;Talle;XL;Color;Marrón;;;120,000.00;80,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
vestido-zaira;;;Talle;XL;Color;"Verde inglés";;;120,000.00;80,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
falda-bardot;"Falda bardot";Inferiores;Talle;S;Color;Bordó;;;67,800.00;50,000.00;0.00;0.00;0.00;0.00;;;;SI;NO;"<p data-start=""179"" data-end=""427"">Confeccionada en 100% cuero vegano de peso estructurado, esta mini falda combina elegancia, dise&ntilde;o y actitud. Su delantero doble aporta un toque diferencial, mientras que el cierre invisible y las pinzas en la espalda garantizan un calce impecable.</p>
<ul data-start=""429"" data-end=""755"">
<li data-start=""429"" data-end=""506"">
<p data-start=""431"" data-end=""506""><strong data-start=""431"" data-end=""444"">Material:</strong> Cuero vegano pesado, con textura firme y acabado sofisticado.</p>
</li>
<li data-start=""507"" data-end=""588"">
<p data-start=""509"" data-end=""588""><strong data-start=""509"" data-end=""520"">Dise&ntilde;o:</strong> Delantero doble, cierre invisible y pinzas para un ajuste perfecto.</p>
</li>
<li data-start=""589"" data-end=""669"">
<p data-start=""591"" data-end=""669""><strong data-start=""591"" data-end=""604"">Detalles:</strong> Ruedo termofijado que mantiene la forma y estructura con el uso.</p>
</li>
<li data-start=""670"" data-end=""755"">
<p data-start=""672"" data-end=""755""><strong data-start=""672"" data-end=""683"">Estilo:</strong> Femenina, moderna y vers&aacute;til, ideal para destacar en cualquier ocasi&oacute;n.</p>
</li>
</ul>
<p data-start=""757"" data-end=""827"">Una prenda clave que eleva tu outfit con personalidad y sofisticaci&oacute;n.</p>";;;;;SI;;;;
falda-bardot;;;Talle;S;Color;Negro;;;67,800.00;50,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
falda-bardot;;;Talle;M;Color;Bordó;;;67,800.00;50,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
falda-bardot;;;Talle;M;Color;Negro;;;67,800.00;50,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
falda-bardot;;;Talle;L;Color;Bordó;;;67,800.00;50,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
falda-bardot;;;Talle;L;Color;Negro;;;67,800.00;50,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
vestido-siena;"Vestido siena";Superiores;Talle;S;Color;Gris;;;86,000.00;60,000.00;0.00;0.00;0.00;0.00;;;;SI;NO;"<p data-start=""146"" data-end=""333"">El vestido Siena corto est&aacute; dise&ntilde;ado para que te sientas segura, c&oacute;moda y radiante. Confeccionado en tejido micro morley con brillo, te permite destacar con sutileza en cualquier ocasi&oacute;n.</p>
<ul data-start=""335"" data-end=""679"">
<li data-start=""335"" data-end=""414"">
<p data-start=""337"" data-end=""414""><strong data-start=""337"" data-end=""350"">Material:</strong> Micro morley con brillo, suave al tacto y con ca&iacute;da elegante.</p>
</li>
<li data-start=""415"" data-end=""506"">
<p data-start=""417"" data-end=""506""><strong data-start=""417"" data-end=""428"">Dise&ntilde;o:</strong> Frunce diagonal y corte asim&eacute;trico que realzan la figura de manera natural.</p>
</li>
<li data-start=""507"" data-end=""609"">
<p data-start=""509"" data-end=""609""><strong data-start=""509"" data-end=""522"">Detalles:</strong> Manga larga para mayor confort y estilo, ideal para eventos de noche o d&iacute;as frescos.</p>
</li>
<li data-start=""610"" data-end=""679"">
<p data-start=""612"" data-end=""679""><strong data-start=""612"" data-end=""623"">Estilo:</strong> Exclusivo y moderno, pensado para que te sientas &uacute;nica.</p>
</li>
</ul>
<p data-start=""681"" data-end=""762"">Una prenda vers&aacute;til y sofisticada que combina dise&ntilde;o y comodidad a la perfecci&oacute;n.</p>";;;;;SI;;;;
vestido-siena;;;Talle;S;Color;Bordó;;;86,000.00;60,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
vestido-siena;;;Talle;S;Color;Negro;;;86,000.00;60,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
vestido-siena;;;Talle;S;Color;Chocolate;;;86,000.00;60,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
vestido-siena;;;Talle;M;Color;Gris;;;86,000.00;60,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
vestido-siena;;;Talle;M;Color;Bordó;;;86,000.00;60,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
vestido-siena;;;Talle;M;Color;Negro;;;86,000.00;60,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
vestido-siena;;;Talle;M;Color;Chocolate;;;86,000.00;60,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
vestido-siena;;;Talle;L;Color;Gris;;;86,000.00;60,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
vestido-siena;;;Talle;L;Color;Bordó;;;86,000.00;60,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
vestido-siena;;;Talle;L;Color;Negro;;;86,000.00;60,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
vestido-siena;;;Talle;L;Color;Chocolate;;;86,000.00;60,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
vestido-siena;;;Talle;XS;Color;Gris;;;86,000.00;60,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
vestido-siena;;;Talle;XS;Color;Bordó;;;86,000.00;60,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
vestido-siena;;;Talle;XS;Color;Negro;;;86,000.00;60,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
vestido-siena;;;Talle;XS;Color;Chocolate;;;86,000.00;60,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
top-polera-simone;"Top polera simone";Superiores;Talle;XS;Color;Negro;;;120,000.00;63,000.00;0.00;0.00;0.00;0.00;;;;SI;NO;"<p data-start=""149"" data-end=""356"">El Top Polera Simone es una prenda clave para un look moderno y sofisticado. Su dise&ntilde;o de cuello alto tipo polera aporta un toque chic, mientras que su corte ajustado realza la figura con estilo y sencillez.</p>
<ul data-start=""358"" data-end=""678"">
<li data-start=""358"" data-end=""442"">
<p data-start=""360"" data-end=""442""><strong data-start=""360"" data-end=""371"">Dise&ntilde;o:</strong> Cuello polera y silueta al cuerpo para un look elegante y atemporal.</p>
</li>
<li data-start=""443"" data-end=""524"">
<p data-start=""445"" data-end=""524""><strong data-start=""445"" data-end=""458"">Material:</strong> Tejido suave y flexible que ofrece confort durante todo el d&iacute;a.</p>
</li>
<li data-start=""525"" data-end=""602"">
<p data-start=""527"" data-end=""602""><strong data-start=""527"" data-end=""538"">Estilo:</strong> Ideal para combinar con pantalones sastreros, faldas o jeans.</p>
</li>
<li data-start=""603"" data-end=""678"">
<p data-start=""605"" data-end=""678""><strong data-start=""605"" data-end=""622"">Versatilidad:</strong> Perfecto para el trabajo, salidas o eventos informales.</p>
</li>
</ul>
<p>&nbsp;</p>
<p data-start=""680"" data-end=""718"">Un b&aacute;sico infaltable con mucho estilo.</p>";;;;;SI;;;;
top-polera-simone;;;Talle;XS;Color;Rojo;;;120,000.00;63,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
top-polera-simone;;;Talle;XS;Color;Marrón;;;120,000.00;63,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
top-polera-simone;;;Talle;XS;Color;Plata;;;120,000.00;63,000.00;0.00;0.00;0.00;0.00;;;;;;;;;;;;;;;
